目录ID,目录名称,剂型,规格,生产企业,2017 4th price,2017 4th 目录类,2017 4th 报名企业家数,2017 3rd,2017 3rd price,2017 3rd 目录类,2017 3rd 报名企业家数,2017 2nd,2017 2nd price,2017 2nd 目录类,2017 2nd 报名企业家数,2017 1st,2017 1st price,2017 1st目录类,2017 1st报名企业家数,4th vs 1st,4th vs 1st %
3464,重组人胰岛素(预混50R)-小容量注射液-3ml:300IU,小容量注射液,3ml:300IU,珠海联邦制药股份有限公司中山分公司,42.4533,其他基本药物,1,Y,42.4533,其他基本药物,1,Y,42.4533,其他基本药物,1,Y,42.4533,其他基本药物,1,0,0.00%
3465,L-门冬氨酸氨氯地平-片剂-5mg,片剂,5mg,浙江尖峰药业有限公司,2.0249,其他基本药物,2,Y,2.0249,其他基本药物,2,Y,2.0249,其他基本药物,2,Y,2.0249,其他基本药物,2,0,0.00%
3473,阿法骨化醇-软胶囊(胶丸)-0.25μg,软胶囊(胶丸),0.25μg,广州白云山星群(药业)股份有限公司,0.525,其他基本药物,9,Y,0.525,其他基本药物,9,Y,0.525,其他基本药物,9,Y,0.525,其他基本药物,9,0,0.00%
3474,阿法骨化醇-软胶囊(胶丸)-0.5μg,软胶囊(胶丸),0.5μg,南通华山药业有限公司,0.95,其他基本药物,3,Y,0.95,其他基本药物,3,Y,0.95,其他基本药物,3,Y,0.9533,其他基本药物,3,-0.0033,-0.35%
3476,阿卡波糖-片剂-50mg,片剂,50mg,杭州中美华东制药有限公司,1.3626,其他基本药物,2,Y,1.3626,其他基本药物,2,Y,1.3626,其他基本药物,2,Y,1.3626,其他基本药物,2,0,0.00%
3477,阿卡波糖-胶囊剂-50mg,胶囊剂,50mg,四川绿叶制药股份有限公司,1.414,其他基本药物,3,Y,1.414,其他基本药物,3,Y,1.414,其他基本药物,3,Y,1.414,其他基本药物,3,0,0.00%
3479,阿立哌唑-片剂-5mg,片剂,5mg,上海上药中西制药有限公司,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,0,0.00%
3480,阿立哌唑-片剂-10mg,片剂,10mg,江苏恩华药业股份有限公司,3.3595,其他基本药物,3,Y,3.295,其他基本药物,3,Y,3.3595,其他基本药物,3,Y,3.36,其他基本药物,3,-0.0005,-0.01%
3481,阿立哌唑-胶囊剂-5mg,胶囊剂,5mg,上海上药中西制药有限公司,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,Y,1.9998,其他基本药物,1,0,0.00%
3483,阿立哌唑-口腔崩解片-5mg,口腔崩解片,5mg,成都康弘药业集团股份有限公司,2.2392,其他基本药物,1,Y,2.2392,其他基本药物,1,Y,2.2392,其他基本药物,1,Y,2.2392,其他基本药物,1,0,0.00%
